latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
37.85165,-121.78974,322.6,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,292.7,3.7,N
37.85185,-121.79267,324.5,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,293.1,4.1,N
37.85205,-121.79563,331.1,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,294.9,4.1,N
37.85226,-121.79867,351.8,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,294.6,3.1,N
37.47033,-121.42625,300.9,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,277.1,7.5,N
37.45197,-121.7262,310,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,286.7,2.1,N
37.4671,-121.44974,302.8,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,272.9,0.8,N
37.50933,-121.8412,307.5,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,281.7,0.8,N
37.51035,-121.85654,305.6,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,283.1,1,N
37.46045,-121.77417,306.2,0.64,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.7,3,N
37.47149,-121.78616,327.4,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.2,2.7,N
37.46224,-121.44295,304.9,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,280,1.5,N
37.46173,-121.43545,318.2,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,283.2,2.7,N
37.46116,-121.42715,308.5,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.9,2.7,N
37.45732,-121.44424,306.1,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,284.6,1.5,N
37.45677,-121.43601,313.4,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,286.6,2.7,N
37.45184,-121.43712,320.5,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,284.4,3.1,N
37.4524,-121.44537,313.4,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.5,3.4,N
37.51446,-121.84149,321,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,283.3,1.4,N
37.46655,-121.44244,300.3,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,276.5,2.1,N
37.46602,-121.43541,310.8,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,280.6,2.1,N
37.48094,-121.77586,312.8,0.64,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,290.9,3,N
37.8362,-121.78801,304.7,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.3,2.6,N
37.83559,-121.77898,318.5,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.1,4.4,N
37.45615,-121.43707,311.6,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.9,3.7,N
37.45124,-121.43833,324.5,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.2,3.7,N
37.45183,-121.44628,310.1,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,284.3,3.7,N
37.45065,-121.4304,312.8,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,277.7,4.5,N
37.49026,-121.78435,314.9,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,287,1.9,N
37.48441,-121.75329,348.6,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,293.9,15.5,N
37.48636,-121.7803,309,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,289.5,3.1,N
37.48198,-121.79025,339,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,290.8,6.3,N
37.48167,-121.78602,339,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,280.5,2.2,N
37.47923,-121.75198,326.1,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,293,6,N
37.48544,-121.78856,367,0.32,0.54,2020-08-17,0918,N,VIIRS,h,2.0NRT,296.3,6.9,N
37.48137,-121.78189,303.1,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.5,2.2,N
37.51157,-121.43332,353.4,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,300.5,15.3,N
37.48264,-121.74602,321.2,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,291.1,9.2,N
37.47749,-121.74491,333.5,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,294,9.2,N
37.48006,-121.45608,336.5,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,291.8,6.6,N
